Action|Time|Value
-|1|-
KEY_DOWN | 0.033850 | W
KEY_DOWN | 0.079722 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.136982 | L
KEY_UP |0.0| L
KEY_DOWN | 0.046565 | C
KEY_UP |0.0| C
KEY_DOWN | 0.046288 | O
KEY_UP |0.0| O
KEY_DOWN | 0.083292 | M
KEY_UP |0.0| M
KEY_DOWN | 0.439601 | E
KEY_UP |0.0| E
KEY_DOWN | 0.022536 | D4
KEY_DOWN | 0.219790 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 0.000974 | W
KEY_DOWN | 0.028716 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.121604 | L
KEY_UP |0.0| L
KEY_DOWN | 0.020715 | C
KEY_UP |0.0| C
KEY_DOWN | 0.024939 | O
KEY_UP |0.0| O
KEY_DOWN | 0.036563 | M
KEY_UP |0.0| M
KEY_DOWN | 0.274042 | E
KEY_UP |0.0| E
KEY_DOWN | 0.044639 | D4
KEY_DOWN | 0.113188 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 0.459892 | W
KEY_DOWN | 0.018133 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.035400 | L
KEY_UP |0.0| L
KEY_DOWN | 0.196472 | C
KEY_UP |0.0| C
KEY_DOWN | 0.038857 | O
KEY_UP |0.0| O
KEY_DOWN | 0.042413 | M
KEY_UP |0.0| M
KEY_DOWN |0.424687| E
KEY_UP |0.0| E
KEY_DOWN | 0.459305 | D4
KEY_DOWN | 0.055138 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.187225 | W
KEY_DOWN | 0.822491 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.034799 | L
KEY_UP |0.0| L
KEY_DOWN | 0.047141 | C
KEY_UP |0.0| C
KEY_DOWN | 0.243243 | O
KEY_UP |0.0| O
KEY_DOWN | 0.022687 | M
KEY_UP |0.0| M
KEY_DOWN | 0.017432 | E
KEY_UP |0.0| E
KEY_DOWN | 0.050906 | D4
KEY_DOWN | 0.972165 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|4|-
-|5|-
KEY_DOWN | 0.033918 | W
KEY_DOWN | 0.026775 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.601773 | L
KEY_UP |0.0| L
KEY_DOWN | 0.032628 | C
KEY_UP |0.0| C
KEY_DOWN | 0.028828 | O
KEY_UP |0.0| O
KEY_DOWN | 0.128328 | M
KEY_UP |0.0| M
KEY_DOWN | 0.030554 | E
KEY_UP |0.0| E
KEY_DOWN | 0.014385 | D4
KEY_DOWN | 0.022139 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|5|-
-|6|-
